 State-gov, Bachelors, Never-married, United-States
 Self-emp-not-inc, Bachelors, Married-civ-spouse, United-States
 Private, HS-grad, Divorced, United-States
 Private, 11th, Married-civ-spouse, United-States
 Private, Bachelors, Married-civ-spouse, Cuba
 Private, Masters, Married-civ-spouse, United-States
 Private, 9th, Married-spouse-absent, Jamaica
 Self-emp-not-inc, HS-grad, Married-civ-spouse, United-States
 Private, Masters, Never-married, United-States
 Private, Bachelors, Married-civ-spouse, United-States
 Private, Some-college, Married-civ-spouse, United-States
 State-gov, Bachelors, Married-civ-spouse, India
 Private, Bachelors, Never-married, United-States
 Private, Assoc-acdm, Never-married, United-States
 Private, Assoc-voc, Married-civ-spouse, India
 Private, 7th-8th, Married-civ-spouse, Mexico
 Self-emp-not-inc, HS-grad, Never-married, United-States
 Private, HS-grad, Never-married, United-States
 Private, 11th, Married-civ-spouse, United-States
 Self-emp-not-inc, Masters, Divorced, United-States
 Private, Doctorate, Married-civ-spouse, United-States
 Private, HS-grad, Separated, United-States
 Federal-gov, 9th, Married-civ-spouse, United-States
 Private, 11th, Married-civ-spouse, United-States
 Private, HS-grad, Divorced, United-States
 Local-gov, Bachelors, Married-civ-spouse, United-States
 Private, HS-grad, Never-married, United-States
 State-gov, Some-college, Married-civ-spouse, South
 Private, HS-grad, Divorced, United-States
 Private, HS-grad, Married-civ-spouse, United-States
 Local-gov, Assoc-acdm, Never-married, United-States
 Private, Some-college, Never-married, United-States
 Private, Bachelors, Divorced, United-States
 Federal-gov, Some-college, Married-civ-spouse, United-States
 State-gov, Some-college, Married-civ-spouse, United-States
 Private, 11th, Never-married, Puerto-Rico
 Private, Some-college, Never-married, United-States
 Private, HS-grad, Married-AF-spouse, United-States
 Private, Some-college, Married-civ-spouse, India
 Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, United-States
 Private, 9th, Married-civ-spouse, United-States
 Self-emp-not-inc, Bachelors, Married-civ-spouse, United-States
 Private, Bachelors, Married-civ-spouse, United-States
 Private, HS-grad, Separated, United-States
 Private, HS-grad, Never-married, United-States
 Federal-gov, Bachelors, Married-civ-spouse, United-States
 Private, HS-grad, Married-civ-spouse, United-States
 Private, Masters, Divorced, United-States
 State-gov, Assoc-voc, Married-civ-spouse, United-States
 Private, Assoc-voc, Never-married, United-States
 Private, Some-college, Married-civ-spouse, United-States
 Private, HS-grad, Never-married, India
 Private, Prof-school, Married-civ-spouse, Honduras
 Federal-gov, Bachelors, Divorced, United-States
 Self-emp-inc, HS-grad, Divorced, United-States
 Private, Some-college, Married-civ-spouse, United-States
